siret,codePostalEtablissement,libelleCommuneEtablissement,longitude,latitude,denominationUniteLegale,categorieJuridiqueUniteLegale
42905556900017,20260,LUMIO,8.825525,42.579994,FINANCIERE DE SPANO,5499
42906007200015,20290,LUCCIANA,9.43849,42.519702,S I CA CARNE CORSICA,5499
42906323300010,20200,BASTIA,9.447117,42.694757,CORSE GRAVURES TROPHEES,5499
42910373200013,20200,BASTIA,9.450332,42.703596,BELLA'COM,5710
42910373200021,20200,BASTIA,9.43521,42.694749,BELLA'COM,5710
42914241700014,20200,BASTIA,9.449826,42.699977,DOMIPHIL,5499
42914532900026,20600,BASTIA,9.443979,42.682121,D P R  FRIOTECH,5499
42914975000011,20212,SERMANO,9.266009,42.314521,VOCISULA PRUDUZZIONE,5499
42933356000051,20290,BORGO,9.441483,42.559597,P.I.C. INFORMATIQUE,5499
42935194300015,20235,CASTELLO-DI-ROSTINO,9.280998,42.48547,SARL EQUIPEMENTS SIGNALISATIONS AMENAGEMENTS,5499
42935254500017,20243,PRUNELLI-DI-FIUMORBO,9.394775,42.001905,A.D.COR,5499
42936100900039,20250,CORTE,9.156891,42.299845,EURO FINANCE IMMOBILIER,5710
42936100900047,20250,CORTE,9.156572,42.297905,EURO FINANCE IMMOBILIER,5710
42943095200011,20230,SAN-NICOLAO,9.526545,42.369702,A STONDA,5499
42943753600023,20200,BASTIA,9.425197,42.686425,GIRARD,5710
42943953200038,20220,L'ILE ROUSSE,8.929981,42.63122,ACTIV'ALARME,5499
42944040700048,20290,BORGO,9.439497,42.584465,CORSE DIFFUSION HYUNDAI,5710
42944200700036,20600,BASTIA,9.443494,42.671993,SERVICE NETTOYAGE,5499
42944590100037,20290,LUCCIANA,9.475956,42.541593,BORGU TRANSPORTI,5499
42949834800011,20220,L'ILE-ROUSSE,8.930975,42.629623,C4 PRODUCTIONS,5499
42958761100030,20290,BORGO,9.439426,42.59178,CORSE MANUTENTION,5499
42958968200013,20260,CALVI,8.759025,42.567076,EBBREZZA,5499
42960635300028,20200,BASTIA,9.449215,42.700489,SARL M S,5499
42972056800022,20620,BIGUGLIA,9.432965,42.623193,RECUP ENVIRONNEMENT RECYCLAGE R.E.R,5499
42972056800030,20620,BIGUGLIA,9.442467,42.599435,RECUP ENVIRONNEMENT RECYCLAGE R.E.R,5499
42972075800037,20200,BASTIA,9.450331,42.700998,A.O. SERVICE,5710
42972773800024,20220,MONTICELLO,8.95347,42.62984,J M C,5710
42974526800012,20215,VESCOVATO,9.463689,42.498798,SARL ARENA CAFFE,5499
42974526800020,20215,VESCOVATO,9.463689,42.498798,SARL ARENA CAFFE,5499
42994604900039,20200,BASTIA,9.44008,42.703783,DEPANNAGE MAINTENANCE SERVICE,5710
42994604900054,20620,BIGUGLIA,9.439744,42.595367,DEPANNAGE MAINTENANCE SERVICE,5710
42994604900062,20600,FURIANI,9.44316,42.658391,DEPANNAGE MAINTENANCE SERVICE,5710
42997434800022,20200,BASTIA,9.444336,42.699205,SOCIETE INSULAIRE DE GESTION ET D'EXPERTISE COMPTABLE S.I.G.E.C,5499
42997680600027,20200,BASTIA,9.445515,42.68492,VIGILAB SOCIETE D'HYGIENE ALIMENTAIRE ET MEDICALE (S.H.A.M.),5499
42997726700013,20260,CALVI,8.757386,42.566314,COMPAGNIE CALVAISE DE CONFECTION,5499
42997726700039,20260,CALVI,8.756042,42.56866,COMPAGNIE CALVAISE DE CONFECTION,5499
42997772100043,20260,CALVI,8.756661,42.565556,SARL GABRIELLE SAVELLI,5499
42997772100050,20260,CALVI,8.755636,42.560389,SARL GABRIELLE SAVELLI,5499
42997772100076,20260,CALVI,8.75498,42.545238,SARL GABRIELLE SAVELLI,5499
43000192500014,20290,BORGO,9.422864,42.553772,SOCIETE SAINT PIERRE,5499
43003812500018,20240,GHISONACCIA,9.407221,42.020985,SARL MEUBLES MANCINI,5499
43003812500026,20240,GHISONACCIA,-1.7742032,46.4912046,SARL MEUBLES MANCINI,5499
43003875200019,20600,FURIANI,9.437003,42.656514,SARL LAURILAE,5499
43005602800011,20220,L'ILE-ROUSSE,8.938442,42.633339,LIBRAIRIE AMBROGI,5710
43005882600016,20220,MONTICELLO,8.95347,42.62984,A PASTURELLA,5499
43014861900017,20250,CORTE,9.169436,42.293404,CASANOVA 1887,5499
43014861900025,20250,CORTE,9.150982,42.305966,CASANOVA 1887,5499
43014861900033,20250,CORTE,9.156866,42.301584,CASANOVA 1887,5499
43019354000019,20220,L'ILE ROUSSE,8.923565,42.626631,CALA DI L'ORU,5499
43020579900025,20600,FURIANI,9.413422,42.658441,BAROMATIC,5499
43030820500011,20220,AREGNO,8.894796,42.587535,SANIT THERMIQUE,5499
43036575900017,20290,BORGO,3.8471555,43.5724915,LE VESUVIO 2B,5710
43039097100025,20221,SANTA-MARIA-POGGIO,9.505273,42.352755,BLEU SPORTS LOISIRS,5499
43039097100041,20230,SANTA-LUCIA-DI-MORIANI,9.510708,42.384205,BLEU SPORTS LOISIRS,5499
43044695500014,20200,BASTIA,9.449627,42.702519,LE NOVELTY,5499
43122049000012,20237,LA PORTA,9.379119,42.434755,TERRA ROSSA,5499
43122049000038,20290,LUCCIANA,9.482003,42.5547317,TERRA ROSSA,5499
43128180700013,20247,ROGLIANO,9.426079,42.972252,STELLA MARINA,5499
43130928500028,20200,BASTIA,9.449892,42.708849,VITALI EXPERTISES,5499
43153533500019,20224,CORSCIA,9.05566,42.36914,VIANDES DU NIOLU,5499
43154606800013,20217,CANARI,9.314488,42.830221,SARL SANTA MARIA,5499
43161093000056,20260,CALVI,8.756042,42.56866,CHRISTOPHE COLOMB,5499
43167219500010,20228,BARRETALI,9.360646,42.87308,CASELLA PRODUCTIONS,5499
43167292200017,20200,BASTIA,9.45539,42.708231,C.C.V,5499
43168686400072,20260,CALVI,8.756389,42.566301,CASANERA SAS,5710
43168686400148,20200,BASTIA,9.449294,42.70011,CASANERA SAS,5710
43168686400163,20260,LUMIO,8.814791,42.591251,CASANERA SAS,5710
43177132800017,20200,BASTIA,9.449499,42.695847,L AMBADA,5499
43178973400016,20247,ROGLIANO,9.426079,42.972252,CAPI CORSU TSM SOUS MARINS,5499
43186202800039,20200,BASTIA,9.448235,42.708044,SARL COR.SE.COM INTERENTREPRISES,5499
43191134600010,20200,BASTIA,9.449922,42.701909,SARL CORSE COM ENTERENTREPRISES,5499
43196182000021,20620,BIGUGLIA,9.437927,42.610603,ALLO S.A.V.,5499
43196834600012,20260,CALVI,8.765768,42.557523,GUGLIELMACCI SURGELES,5499
43197313000021,20250,CORTE,9.154904,42.301296,G.A.J.,5499
43198243800027,20200,SAN-MARTINO-DI-LOTA,9.455671,42.722349,CAP COIFFURE,5499
43203938600037,20222,BRANDO,9.47292,42.773501,S.A.R.L LABORATOIRE DENTIS,5499
43209892900016,20232,OLETTA,9.35616,42.633212,SARL NEBBIO MATERIAUX,5499
43216131300015,20240,GHISONACCIA,9.407046,42.043212,SARL CONFORT 2000,5499
43216501700018,20219,VIVARIO,9.160055,42.160409,CASARZA,5499
43216612200015,20200,BASTIA,9.449739,42.699723,GALERIE 31 EDITIONS 90,5499
43229264700042,20620,BIGUGLIA,9.443844,42.601694,LES BOUCHONS CORSES,5499
43239243900019,20200,BASTIA,9.425197,42.686425,SEGEFI,5499
43240199000010,20233,SISCO,9.483574,42.807541,A STALLA SISCHESE,5499
43240199000028,20233,SISCO,9.483574,42.807541,A STALLA SISCHESE,5499
43240217000018,20233,PIETRACORBARA,9.43831,42.84469,MONTE STELLO SARL,5499
43240303800024,20600,FURIANI,9.436442,42.658762,E.M.A,5499
43240915900014,20260,CALVI,8.759025,42.567076,LA TOUR,5499
43243808300011,20600,FURIANI,9.449752,42.649766,SARL CIAVALDINI STRABONI,5499
43244151700013,20220,AREGNO,8.894648,42.587943,A N D,5499
43245383500014,20270,ALERIA,9.513296,42.114914,HOTEL L'EMPEREUR,5499
43245400700019,20600,FURIANI,9.413422,42.658441,FINANCIERE CASTELLI,5710
43245400700027,20600,FURIANI,9.44072,42.653824,FINANCIERE CASTELLI,5710
43250597200427,20290,BORGO,9.434462,42.589574,ERT TECHNOLOGIES,5710
43250959400045,20200,BASTIA,9.450214,42.69952,OMNIUM EUROPEEN DE PARTICIPATIONS FINANCIERES,5710
43250959400078,20200,SAN-MARTINO-DI-LOTA,9.456277,42.721709,OMNIUM EUROPEEN DE PARTICIPATIONS FINANCIERES,5710
43254221500012,20220,L'ILE-ROUSSE,8.938353,42.635446,NOTRE DAME,5499
43254221500046,20220,MONTICELLO,8.95347,42.62984,NOTRE DAME,5499
43254221500053,20220,L'ILE-ROUSSE,8.938368,42.635699,NOTRE DAME,5499
43255421000018,20200,BASTIA,9.445515,42.68492,MEDILIGNES,5499
43259080000020,20238,CENTURI,9.367822,42.966143,SOCIETE PLOMBELEC,5499
43260794300029,20200,VILLE-DI-PIETRABUGNO,9.436141,42.710724,GLAM'ESTHETIC INSTITUT BASTIA,5499
43266718600022,20200,BASTIA,9.431626,42.688567,MACADO 2B,5499
43269033700014,20200,VILLE-DI-PIETRABUGNO,9.452124,42.712753,DETENTE SPORTS LOISIRS,5499
43269033700022,20200,VILLE-DI-PIETRABUGNO,9.452374,42.712183,DETENTE SPORTS LOISIRS,5499
43275079200017,20600,FURIANI,9.433541,42.647575,PIER DE MAI,5710
43275079200025,20600,FURIANI,9.430187,42.663413,PIER DE MAI,5710
43275079200033,20600,FURIANI,9.44072,42.653824,PIER DE MAI,5710
43275079200041,20290,BORGO,9.434462,42.589574,PIER DE MAI,5710
43279493100027,20290,LUCCIANA,9.524093,42.560838,PICAULT ENTREPRISE,5499
43282250000026,20200,BASTIA,9.442914,42.662972,SARL BOUTIQUE EMMANUELLA,5499
43283803500025,20240,GHISONACCIA,9.405622,42.015106,HOCOTEL,5499
43289477200016,20221,SANT ANDREA DI COTONE,9.472954,42.314705,COSA DI CASA,5499
43292923000014,20200,BASTIA,9.428744,42.672293,SARL EURO CONSTRUCTION 2000,5499
43294313200014,20620,BIGUGLIA,9.436228,42.620385,POWER LIVE MUSIC,5499
43301919700022,20200,BASTIA,9.452276,42.704642,E-K.I.P MEDITERRANEE INFORMATIQUE,5710
43305133100018,20200,VILLE-DI-PIETRABUGNO,9.427392,42.715973,ANNONCIADE CONTROLE AUTOMOBILE,5710
43307370700047,20290,LUCCIANA,9.466697,42.548515,SARL BTP 2000,5499
43317832400011,20248,TOMINO,4.39087,45.4547668,SARL TOMINO-CONSTRUCTION,5499
43325050300029,20200,BASTIA,9.425197,42.686425,DE MORO PROMOTIONS,5499
43325050300037,20200,BASTIA,9.449648,42.701742,DE MORO PROMOTIONS,5499
43325083401687,20290,LUCCIANA,9.473243,42.54148,DEKRA INDUSTRIAL,5710
43325534600010,20200,BASTIA,9.447885,42.696397,JENAL,5499
43325534600028,20200,BASTIA,9.451124,42.704797,JENAL,5499
43325874600042,20200,BASTIA,9.44434,42.695264,KYRN ASSUR CONSEIL,5499
43328279500023,20270,ALERIA,9.495993,42.1061,AQUA'SCORSA,5499
43329782700019,20250,CORTE,9.436903,42.6614867,M'HOTEL DU FUSSATU,5499
43329908800016,20220,PIGNA,8.899803,42.599554,SARL PROBAT 2000,5499
43329973200019,20247,ROGLIANO,9.426079,42.972252,FOCCE LIBECCIU,5499
43332750900025,20200,BASTIA,9.452664,42.708454,CIE INVESTISSEMENT PARTICIPATION,5499
43332785500030,20230,SANTA-LUCIA-DI-MORIANI,9.510708,42.384205,KALLIPHARMA,5710
43332849900010,20290,BORGO,9.457523,42.574093,JHGC,5710
43333155000015,20217,SAINT-FLORENT,9.28444,42.687395,SOC EXPLOITATION L ESCALE,5499
43333155000023,20217,SAINT-FLORENT,9.300082,42.680935,SOC EXPLOITATION L ESCALE,5499
43336329800020,20200,VILLE-DI-PIETRABUGNO,9.441628,42.710029,T P 2B,5499
43336329800038,20217,SAINT-FLORENT,9.321325,42.6935,T P 2B,5499
43350062600042,20620,BIGUGLIA,9.443318,42.600146,SARL NORD CONSTRUCTION,5499
43350679700029,20620,BIGUGLIA,9.440345,42.600454,CORSE CENTRALE DE RESTAURATION,5710
43351686100021,20260,CALVI,1.2279812,49.230352,SOCIETE D'EXPLOITATION DE LA PLAGE DE CALVI 14,5499
43353454200017,20200,BASTIA,9.446849,42.698201,CORSE MEDIATION CONSEIL,5499
43355524000012,20200,BASTIA,9.452244,42.692227,PLF,5499
43355524000020,20200,BASTIA,9.452777,42.706535,PLF,5499
43360110100010,20600,FURIANI,9.424247,42.655917,SARL VIRGIANA,5499
43367150000018,20290,LUCCIANA,9.476262,42.549345,SNP,5499
43367150000026,20200,BASTIA,9.451266,42.693095,SNP,5499
43367798600021,20620,BIGUGLIA,9.432965,42.623193,CASA LOC,5499
43367798600039,20620,BIGUGLIA,9.432965,42.623193,CASA LOC,5499
43378723100037,20200,BASTIA,9.451124,42.704797,MUCA,5499
43383187200034,20200,BASTIA,9.450342,42.694068,SARL CORSICA COLIS,5499
43383187200042,20200,BASTIA,9.450342,42.694068,SARL CORSICA COLIS,5499
43386098800016,20600,BASTIA,9.443979,42.682121,LES DELICES DE CHAU'PAIN,5499
43390717700011,20200,BASTIA,9.449576,42.700339,GRIMALDI CHOCOLATIER,5499
43390717700037,20250,CORTE,9.150298,42.307532,GRIMALDI CHOCOLATIER,5499
43390717700045,20250,CORTE,9.149326,42.305018,GRIMALDI CHOCOLATIER,5499
43390956100014,20200,BASTIA,9.450393,42.703315,AUDIT CONSEIL EXPERTISE,5499
43391481900035,20253,BARBAGGIO,9.380665,42.689848,PSB SERVICES ET TRAVAUX,5499
43392253100028,20200,BASTIA,9.44008,42.703783,CORSE TOURISME & IMMOBILIER,5499
43392294500038,20270,ALERIA,9.495993,42.1061,CBS COLLECTIVITES BUREAUX SERVICES,5710
43394926000023,20600,FURIANI,9.430521,42.640948,GAMP,5499
43398154500042,20620,BIGUGLIA,9.435369,42.595011,LUCIANI DISTRIBUTION,5710
43404618100013,20245,GALERIA,8.698572,42.414465,PALAZZU,5499
43408405900022,20600,BASTIA,9.425197,42.686425,PRODUITS CORSES,5499
43415707900014,20200,SAN-MARTINO-DI-LOTA,9.456563,42.723515,SARL STUDIO GECKO,5499
43419685300023,20215,VENZOLASCA,9.524199,42.509638,SARL ELAG'PLUS JARDINS,5499
43419728100018,20229,PIE D'OREZZA,9.338151,42.374293,TRANSVIR,5499
43421025800019,20230,SAN-NICOLAO,9.529731,42.367986,LE CLOS DES VENDANGES,5499
43425091600021,20290,BORGO,9.439771,42.582454,COFNI,5710
